date,value
1949-01-01,4.718498871295094
1949-02-01,4.770684624465665
1949-03-01,4.882801922586371
1949-04-01,4.859812404361672
1949-05-01,4.795790545596741
1949-06-01,4.90527477843843
1949-07-01,4.997212273764115
1949-08-01,4.997212273764115
1949-09-01,4.912654885736052
1949-10-01,4.77912349311153
1949-11-01,4.6443908991413725
1949-12-01,4.770684624465665
1950-01-01,4.74493212836325
1950-02-01,4.836281906951478
1950-03-01,4.948759890378168
1950-04-01,4.90527477843843
1950-05-01,4.8283137373023015
1950-06-01,5.003946305945459
1950-07-01,5.135798437050262
1950-08-01,5.135798437050262
1950-09-01,5.062595033026967
1950-10-01,4.890349128221754
1950-11-01,4.736198448394496
1950-12-01,4.941642422609304
1951-01-01,4.976733742420574
1951-02-01,5.0106352940962555
1951-03-01,5.181783550292085
1951-04-01,5.093750200806762
1951-05-01,5.147494476813453
1951-06-01,5.181783550292085
1951-07-01,5.293304824724492
1951-08-01,5.293304824724492
1951-09-01,5.214935757608986
1951-10-01,5.087596335232384
1951-11-01,4.983606621708336
1951-12-01,5.111987788356544
1952-01-01,5.14166355650266
1952-02-01,5.19295685089021
1952-03-01,5.262690188904886
1952-04-01,5.198497031265826
1952-05-01,5.209486152841421
1952-06-01,5.384495062789089
1952-07-01,5.438079308923196
1952-08-01,5.488937726156687
1952-09-01,5.342334251964811
1952-10-01,5.25227342804663
1952-11-01,5.147494476813453
1952-12-01,5.267858159063328
1953-01-01,5.278114659230517
1953-02-01,5.278114659230517
1953-03-01,5.4638318050256105
1953-04-01,5.459585514144159
1953-05-01,5.43372200355424
1953-06-01,5.493061443340548
1953-07-01,5.575949103146316
1953-08-01,5.605802066295998
1953-09-01,5.4680601411351315
1953-10-01,5.351858133476067
1953-11-01,5.19295685089021
1953-12-01,5.303304908059076
1954-01-01,5.318119993844216
1954-02-01,5.236441962829949
1954-03-01,5.459585514144159
1954-04-01,5.424950017481403
1954-05-01,5.455321115357702
1954-06-01,5.575949103146316
1954-07-01,5.71042701737487
1954-08-01,5.680172609017068
1954-09-01,5.556828061699537
1954-10-01,5.43372200355424
1954-11-01,5.313205979041787
1954-12-01,5.43372200355424
1955-01-01,5.488937726156687
1955-02-01,5.4510384535657
1955-03-01,5.58724865840025
1955-04-01,5.594711379601839
1955-05-01,5.598421958998375
1955-06-01,5.752572638825633
1955-07-01,5.8971538676367405
1955-08-01,5.849324779946859
1955-09-01,5.7430031878094825
1955-10-01,5.6131281063880705
1955-11-01,5.4680601411351315
1955-12-01,5.627621113690637
1956-01-01,5.648974238161206
1956-02-01,5.6240175061873385
1956-03-01,5.75890177387728
1956-04-01,5.746203190540153
1956-05-01,5.762051382780177
1956-06-01,5.924255797414532
1956-07-01,6.023447592961033
1956-08-01,6.003887067106539
1956-09-01,5.872117789475416
1956-10-01,5.723585101952381
1956-11-01,5.602118820879701
1956-12-01,5.723585101952381
1957-01-01,5.752572638825633
1957-02-01,5.707110264748875
1957-03-01,5.87493073085203
1957-04-01,5.8522024797744745
1957-05-01,5.872117789475416
1957-06-01,6.045005314036012
1957-07-01,6.142037405587356
1957-08-01,6.1463292576688975
1957-09-01,6.0014148779611505
1957-10-01,5.849324779946859
1957-11-01,5.720311776607412
1957-12-01,5.817111159963204
1958-01-01,5.8289456176102075
1958-02-01,5.762051382780177
1958-03-01,5.8916442118257715
1958-04-01,5.8522024797744745
1958-05-01,5.8944028342648505
1958-06-01,6.075346031088684
1958-07-01,6.19644412779452
1958-08-01,6.22455842927536
1958-09-01,6.0014148779611505
1958-10-01,5.883322388488279
1958-11-01,5.736572297479192
1958-12-01,5.820082930352362
1959-01-01,5.886104031450156
1959-02-01,5.834810737062605
1959-03-01,6.0063531596017325
1959-04-01,5.981414211254481
1959-05-01,6.040254711277414
1959-06-01,6.156978985585555
1959-07-01,6.306275286948016
1959-08-01,6.326149473155099
1959-09-01,6.137727054086234
1959-10-01,6.008813185442595
1959-11-01,5.8916442118257715
1959-12-01,6.003887067106539
1960-01-01,6.0330862217988015
1960-02-01,5.968707559985366
1960-03-01,6.037870919922137
1960-04-01,6.133398042996649
1960-05-01,6.156978985585555
1960-06-01,6.282266746896006
1960-07-01,6.432940092739179
1960-08-01,6.406879986069314
1960-09-01,6.230481447578482
1960-10-01,6.133398042996649
1960-11-01,5.966146739123692
1960-12-01,6.068425588244111
